species_id,name,binomial,epbcstatus,epbclevel,eco_name,description,threats,image_url,source_notes,source,facts
1,Helmeted Honeyeater,Lichenostomus melanops cassidix,Critically Endangered,3,Riparian Forest,Victoriaâ€™s bird emblem; lives only in riparian forests along the Yellingbo area.,"Clearing of riparian vegetation, reduced water quality, low genetic diversity.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Captively_bred_Helmeted_Honeyeater_at_the_Healesville_Sanctuary_in_Healesville%2C_Victoria%2C_Australia.jpg/960px-Captively_bred_Helmeted_Honeyeater_at_the_Healesville_Sanctuary_in_Healesville%2C_Victoria%2C_Australia.jpg?20160519114544,"Helmeted Honeyeater â€“ Photo by Leo (leoking77), via Wikimedia Commons, licensed under CC BY 2.0","https://commons.wikimedia.org/wiki/File:Captively_bred_Helmeted_Honeyeater_at_the_Healesville_Sanctuary_in_Healesville,_Victoria,_Australia.jpg","ğŸ”¹ Victoriaâ€™s bird emblem and critically endangered â€” fewer than 250 wild individuals remain.
ğŸ”¹ Itâ€™s a subspecies of the yellow-tufted honeyeater and only survives in a tiny patch of swampy forest in the Yellingbo Nature Conservation Reserve.
ğŸ”¹ Helmeted honeyeaters are extremely territorial and even attack their own reflections during breeding season!"
2,Leadbeater's Possum,Gymnobelideus leadbeateri,Critically Endangered,3,Montane Ash Forest,Tiny possum found only in mountain ash forests of the Central Highlands.,"Logging, bushfires, loss of hollow-bearing trees.",https://upload.wikimedia.org/wikipedia/commons/1/13/Leadbeater%27s_Possum_02_Pengo.jpg,"Leadbeaterâ€™s Possum â€“ Photo by Pengo, via Wikimedia Commons, licensed under CC BY-SA 3.0",https://commons.wikimedia.org/wiki/File:Leadbeater%27s_Possum_02_Pengo.jpg,"ğŸ”¹ Victoriaâ€™s state faunal emblem, thought extinct for decades until it was rediscovered in 1961!
ğŸ”¹ It's incredibly fast and agile â€” often described as a â€œlightning bolt of furâ€ darting through trees.
ğŸ”¹ They depend on hollow-bearing old-growth trees for nesting, and are highly vulnerable to logging and bushfires."
3,Southern Greater Glider,Petauroides volans,Endangered,2,Eucalypt Forest,Large gliding marsupial that depends on old-growth eucalyptus forests with tree hollows.,"Deforestation, fragmentation, rising temperatures.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Petauroides_volans3.jpg/640px-Petauroides_volans3.jpg,"Greater Glider (Petauroides volans) â€“ Photo by Dave Britton / Australian Museum, via Wikimedia Commons, licensed under CC BY 2.5",https://commons.wikimedia.org/wiki/File:Petauroides_volans3.jpg,"ğŸ”¹ Australiaâ€™s largest gliding mammal, with a fluffy tail and gliding membrane that can stretch over a metre!
ğŸ”¹ They can glide over 100 metres between trees to forage and avoid predators.
ğŸ”¹ Surprisingly picky â€” each individual typically sticks to just 20â€“30 specific eucalyptus trees it uses as a home range."
4,Brush-tailed Rock-wallaby,Petrogale penicillata,Vulnerable,2,Rocky Forest Slopes,Shy wallaby living in rocky escarpments and forests; now confined to isolated colonies.,"Habitat destruction, introduced predators, low population.",https://images.ala.org.au/image/eea6f061-d2db-4607-9c5a-897c2158ef9f/large,"Brush-tailed Rock-wallaby â€“ Photo by Amanda Bryant, via Atlas of Living Australia, licensed under CC BY 4.0",https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/9605957e-396d-43b5-9025-997e1fee039a,"ğŸ”¹ These rock-wallabies are natural acrobats, living among steep rocky cliffs and bouncing effortlessly across ledges.
ğŸ”¹ Their thick, furry tail acts like a balancing pole â€” perfect for navigating their cliffside homes.
ğŸ”¹ Once common, theyâ€™re now endangered due to habitat loss and predation from foxes and cats â€” but theyâ€™ve recently been reintroduced in several protected areas, including in Victoria."
5,Spot-tailed Quoll,Dasyurus maculatus maculatus,Endangered,2,Eucalypt Forest,,,https://live.staticflickr.com/7440/27274684533_06e8676d54_b.jpg,Spot-tailed Quoll - Animalia.bio,https://www.google.com/url?sa=i&url=https%3A%2F%2Fanimalia.bio%2Ftiger-quoll&psig=AOvVaw3EXDImcSIKGvH6hEwo5Jyi&ust=1746069556858000&source=images&cd=vfe&opi=89978449&ved=0CBcQjhxqFwoTCJCg05rm_owDFQAAAAAdAAAAABAE,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
